Year,Biology,Communications and Journalism,Computer Science,Education,Engineering,Foreign Languages,Health Professions,Math and Statistics,Physical Sciences,Social Sciences and History
1970,70.91,64.70,86.40,25.46,99.20,26.20,22.90,62.00,86.20,63.20
1971,70.61,64.50,86.40,25.85,99.00,26.10,24.50,61.00,85.10,63.80
1972,70.19,63.40,85.10,26.45,98.80,25.40,23.10,59.80,85.20,63.90
1973,68.85,61.60,83.60,26.50,98.40,25.10,22.60,59.10,83.50,63.60
1974,67.00,59.50,81.10,26.66,97.80,24.70,22.10,58.20,81.80,62.70
1975,65.55,58.50,80.20,27.20,96.80,25.00,21.10,59.30,80.90,62.30
1976,63.93,55.70,76.10,27.83,95.50,25.60,20.80,58.50,80.00,60.80
1977,61.67,53.10,74.30,27.54,93.20,25.70,19.50,58.90,78.70,59.50
1978,59.89,50.10,71.90,26.81,91.60,25.70,18.10,58.40,77.50,58.20
1979,57.93,47.70,69.80,26.18,90.60,25.80,17.70,57.70,76.30,56.40
1980,56.00,45.30,67.50,25.02,89.70,25.90,16.50,57.20,75.40,55.80
1981,54.75,43.60,65.20,24.15,88.40,26.10,15.90,56.80,74.30,55.40
1982,54.03,42.00,63.70,24.16,87.60,27.30,15.60,56.00,72.70,55.40
1983,53.29,41.40,62.90,24.05,86.90,28.20,15.40,55.70,72.40,55.90
1984,52.33,40.90,63.20,24.13,86.50,27.90,14.90,53.80,72.00,55.90
1985,52.09,41.00,64.30,24.08,86.50,29.20,14.70,53.50,72.50,56.20
1986,51.70,40.00,65.30,23.86,86.10,28.80,14.30,53.30,71.60,56.00
1987,49.79,39.80,67.60,23.04,86.00,28.00,14.50,53.50,69.60,56.10
1988,49.90,39.60,69.20,22.37,86.10,27.70,14.80,53.80,70.30,55.60
1989,49.23,39.50,70.10,21.89,85.90,27.60,15.40,53.80,68.70,55.80
1990,49.18,39.20,70.60,21.13,85.90,28.80,16.10,52.70,68.40,54.90
1991,48.53,39.20,71.30,21.01,86.00,28.90,16.50,53.00,67.40,54.50
1992,48.65,40.30,71.80,21.56,85.50,29.00,17.00,52.60,67.40,54.20
1993,48.88,41.30,71.50,22.73,85.10,30.00,17.60,53.60,66.40,53.90
1994,47.75,41.90,71.50,24.19,84.30,30.90,18.20,53.00,65.20,53.20
1995,47.40,41.20,72.50,24.87,83.80,30.40,18.50,53.90,64.10,52.10
1996,46.21,41.30,72.90,24.96,83.30,30.30,18.70,53.60,62.70,51.30
1997,45.00,40.00,73.20,24.84,83.00,30.00,18.10,53.00,61.70,50.80
1998,43.65,40.00,73.00,24.51,82.20,29.90,17.90,51.70,60.30,49.50
1999,41.77,38.80,71.90,24.16,81.40,29.10,16.50,52.20,59.80,48.80
2000,40.61,38.10,72.30,23.31,81.60,29.10,16.50,51.80,59.00,48.20
2001,39.29,37.00,72.40,22.62,81.00,28.80,14.90,53.00,57.80,48.30
2002,38.10,36.30,73.00,21.36,81.30,29.50,14.20,54.30,58.90,48.50
2003,37.83,35.40,74.90,21.46,81.20,29.40,13.50,54.00,58.30,49.10
2004,38.09,35.80,77.80,21.35,81.80,29.20,13.50,55.30,57.90,49.50
2005,38.50,36.60,79.40,20.93,82.10,30.10,14.00,54.90,58.40,50.00
2006,39.83,37.00,81.40,21.31,83.20,30.40,14.10,55.90,59.20,50.20
2007,40.59,37.50,82.40,21.28,83.20,29.80,14.60,55.90,59.30,50.70
2008,40.69,37.60,82.20,20.80,83.50,29.80,14.80,56.70,59.30,50.60
2009,41.51,37.20,81.90,20.47,83.20,30.70,14.90,56.70,59.30,50.60
2010,40.99,37.50,82.40,20.38,82.80,31.00,15.00,56.90,59.80,50.70
2011,41.26,37.80,81.80,20.57,82.50,30.50,15.20,56.90,59.90,50.80
